pitch_type,zone,stand,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,game_pk,fielder_2,at_bat_number,pitch_number,if_fielding_alignment,of_fielding_alignment,home_score_diff,bat_score_diff,bat_win_exp,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
FF,3,L,1,1,,,,0,1,Bot,776387,680779,4,3,Standard,Standard,0,0,0.547,22,1,0,6
FS,5,L,1,0,,,,0,1,Bot,776387,680779,4,2,Standard,Standard,0,0,0.547,22,1,0,6
FF,11,L,0,0,,,,0,1,Bot,776387,680779,4,1,Standard,Standard,0,0,0.547,22,1,0,6
FF,5,L,3,1,,,,2,6,Top,776461,680779,48,5,Strategic,Standard,5,-5,0.026,36,3,2,6
FF,8,L,3,0,,,,2,6,Top,776461,680779,48,4,Infield shade,Standard,5,-5,0.026,36,3,2,6
FF,13,L,2,0,,,,2,6,Top,776461,680779,48,3,Infield shade,Standard,5,-5,0.026,36,3,2,6
CU,14,L,1,0,,,,2,6,Top,776461,680779,48,2,Strategic,Standard,5,-5,0.026,36,3,2,6
FF,11,L,0,0,,,,2,6,Top,776461,680779,48,1,Strategic,Standard,5,-5,0.026,36,3,2,6
ST,11,R,1,2,,,,1,6,Top,776461,680779,47,4,Standard,Standard,5,-5,0.032,33,3,2,6
SI,5,R,1,1,,,,1,6,Top,776461,680779,47,3,Standard,Standard,5,-5,0.032,33,3,2,6
FF,3,R,0,1,,,,1,6,Top,776461,680779,47,2,Standard,Standard,5,-5,0.032,33,3,2,6
SI,8,R,0,0,,,,1,6,Top,776461,680779,47,1,Standard,Standard,5,-5,0.032,33,3,2,6
FF,11,L,0,2,,,,0,6,Top,776461,680779,46,3,Infield shade,Standard,5,-5,0.042,31,3,2,6
CH,8,L,0,1,,,,0,6,Top,776461,680779,46,2,Strategic,Standard,5,-5,0.042,31,3,2,6
ST,4,L,0,0,,,,0,6,Top,776461,680779,46,1,Strategic,Standard,5,-5,0.042,31,3,2,6
FF,3,L,2,2,,,500743,2,5,Top,776461,680779,37,7,Infield shade,Standard,1,-1,0.32,24,2,1,6
CU,6,L,2,2,,,500743,2,5,Top,776461,680779,37,6,Strategic,Standard,1,-1,0.32,24,2,1,6
FF,11,L,1,2,,,500743,2,5,Top,776461,680779,37,5,Strategic,Standard,1,-1,0.32,24,2,1,6
CH,13,L,1,2,,,500743,2,5,Top,776461,680779,37,4,Standard,Standard,1,-1,0.32,24,2,1,6
CH,13,L,0,2,,,500743,2,5,Top,776461,680779,37,3,Standard,Standard,1,-1,0.32,24,2,1,6
CH,7,L,0,1,,,500743,2,5,Top,776461,680779,37,2,Standard,Standard,1,-1,0.32,24,2,1,6
FF,5,L,0,0,,,500743,2,5,Top,776461,680779,37,1,Standard,Standard,1,-1,0.32,24,2,1,6
SI,8,R,1,2,,,,2,5,Top,776461,680779,36,4,Standard,Standard,1,-1,0.301,36,2,1,6
CH,13,R,0,2,,,,2,5,Top,776461,680779,36,3,Standard,Standard,1,-1,0.301,36,2,1,6
FS,11,R,0,1,,,,2,5,Top,776461,680779,36,2,Standard,Standard,1,-1,0.301,36,2,1,6
FF,2,R,0,0,,,,2,5,Top,776461,680779,36,1,Standard,Standard,1,-1,0.301,36,2,1,6
