pitch_type,release_speed,release_pos_x,release_pos_z,events,description,zone,stand,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,release_spin_rate,release_extension,game_pk,fielder_2,launch_speed_angle,at_bat_number,pitch_number,bat_score,fld_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
FS,93,-3.12,5.72,,called_strike,7,L,S,,,0,0,-0.81,-0.2,-0.65,1.83,,,,0,5,Bot,,,,,,1683,6.5,776387,680779,,30,1,0,1,0,1,Standard,Standard,2,1,6
ST,85,-2.38,5.53,strikeout,swinging_strike,14,R,S,2,,0,2,1.04,0.65,0.71,1.59,,,,2,4,Bot,,,,,,2269,6.6,776387,680779,,26,3,0,1,0,1,Standard,Standard,2,1,6
ST,84.7,-2.37,5.55,,swinging_strike,9,R,S,,,0,1,0.55,0.18,0.52,2.32,,,,2,4,Bot,,,,,,2232,6.6,776387,680779,,26,2,0,1,0,1,Standard,Standard,2,1,6
ST,84.5,-2.4,5.64,,foul,5,R,S,,,0,0,0.64,0.51,-0.23,2.65,,,,2,4,Bot,,,222,68.5,42,2268,6.5,776387,680779,,26,1,0,1,0,1,Standard,Standard,2,1,6
FS,94.1,-2.96,5.65,field_out,hit_into_play,13,L,X,1,ground_ball,2,0,-1.09,-0.29,-0.86,1.9,,,,1,4,Bot,127.46,174.41,2,83.7,-41,1522,6.5,776387,680779,2,25,3,0,1,0,1,Standard,Standard,2,1,6
CU,81.5,-2.97,5.7,,ball,13,L,B,,,1,0,0.72,-0.12,-1.21,2.44,,,,1,4,Bot,,,,,,2407,6.4,776387,680779,,25,2,0,1,0,1,Standard,Standard,2,1,6
FF,97.1,-2.89,5.63,,ball,11,L,B,,,0,0,-1,1.03,-1.6,4.68,,,,1,4,Bot,,,,,,2272,6.6,776387,680779,,25,1,0,1,0,1,Standard,Standard,2,1,6
ST,84.6,-2.37,5.57,field_out,hit_into_play,6,R,X,6,fly_ball,2,1,0.9,0.73,0.36,2.58,,,,0,4,Bot,92.17,117.17,222,81,50,2233,6.5,776387,680779,3,24,4,0,1,0,1,Standard,Standard,2,1,6
SI,97,-2.19,5.64,,ball,14,R,B,,,1,1,-1.55,0.33,0.39,1.1,,,,0,4,Bot,,,,,,2221,6.8,776387,680779,,24,3,0,1,0,1,Standard,Standard,2,1,6
SI,96.8,-2.34,5.7,,called_strike,6,R,S,,,1,0,-1.56,0.29,0.81,2.21,,,,0,4,Bot,,,,,,2265,6.6,776387,680779,,24,2,0,1,0,1,Standard,Standard,2,1,6
FF,93.8,-2.08,5.74,,ball,14,R,B,,,0,0,-1.39,1.3,1.17,2.4,,,,0,4,Bot,,,,,,2166,6.6,776387,680779,,24,1,0,1,0,1,Standard,Standard,2,1,6
